city,date,fare,ride_id
Pearsonberg,3/27/16 3:46,6.72,927702182035
Wiseborough,10/1/16 9:57,37.84,1617736281758
Aprilchester,5/11/16 7:04,20.29,1081687614611
South Josephville,6/1/16 5:15,28.33,7956832876432
Sarabury,7/23/16 7:42,21.76,7546681945283
Port Martinberg,10/14/16 0:03,11.62,8416915635572
Davistown,8/31/16 20:43,34.77,2560957341604
Lake Jeffreyland,10/22/16 13:25,26.82,3277092464967
Port Samantha,1/6/16 20:50,34.72,5731438242537
Smithhaven,3/23/16 11:06,9.17,7823456852992
West Jefferyfurt,7/8/16 5:37,28.75,710013110978
Jacobfort,6/23/16 10:30,16.24,1221562985836
Zimmermanmouth,6/29/16 21:29,17.12,1214603530980
Eriktown,7/26/16 10:58,19.81,6337630525080
Eriktown,1/3/16 10:46,22.9,5882538144686
Kellershire,5/5/16 8:07,26.5,6984237224818
West Alexis,8/29/16 18:17,6.16,209062359877
Alyssaberg,5/28/16 9:20,35.61,7474701747862
Lake Jennaton,6/5/16 12:00,25.56,9576410708436
West Brandy,4/12/16 0:51,34.59,9597060126975
Port Samantha,4/4/16 10:57,33.91,7428625925530
New Aaron,10/30/16 22:19,8.44,1130740557911
Sarabury,4/2/16 4:32,38.03,4932495851866
West Oscar,10/5/16 22:23,32.64,7916984508100
Edwardsbury,1/28/16 23:28,26.61,6097852530810
Arnoldview,3/24/16 5:50,38.73,9909352484494
Swansonbury,1/4/16 20:54,17.1,7449364616114
Port Johnstad,11/19/16 2:08,34.47,3218497808314
South Louis,6/19/16 5:30,35.29,319785584804
Lisaville,1/6/16 3:50,19.6,239487697551
New Maryport,2/10/16 5:36,23.41,397475291942
West Dawnfurt,7/24/16 15:18,30.8,3839329929610
Davidtown,10/12/16 17:56,24.65,9382980155712
West Peter,8/16/16 23:26,7.25,1040904625038
Spencertown,1/16/16 18:28,35.59,7002933670322
Rodriguezburgh,11/21/16 10:41,26.13,6513545702246
Russellport,9/8/16 17:46,13.81,1034339681561
Rodriguezburgh,5/22/16 21:34,8.83,5135321621391
West Brandy,8/19/16 3:53,17.72,1904212005602
South Roy,11/20/16 2:09,6.81,6512612750531
Russellport,2/2/16 20:46,18.96,7234982138755
Zimmermanmouth,8/11/16 11:17,5.97,7276044030126
Sarabury,6/23/16 5:03,26.82,6711035373406
East Douglas,10/1/16 19:07,16.36,8450340983211
Kellershire,11/2/16 16:34,15.29,7136970429336
Davistown,2/29/16 22:39,15.58,2605125055829
Davistown,5/26/16 20:42,12.96,3749975593991
Mooreview,5/31/16 13:20,24.82,9881448402158
Zimmermanmouth,8/1/16 20:38,34.95,2258161061820
Port Johnstad,8/21/16 8:03,15.92,4308926263704
Port Josephfurt,9/20/16 19:27,14,2465241563666
East Douglas,7/19/16 7:42,11.24,8566233760392
East Douglas,9/20/16 2:40,23.26,825335145222
Torresshire,5/24/16 15:47,29.25,9781946552709
West Brandy,10/4/16 21:18,20.62,1064604032088
New Christine,1/26/16 13:18,23.52,1415478418209
New Andreamouth,11/18/16 15:01,17.64,8669842502879
Lisatown,10/14/16 9:22,33.4,9894794967721
Port Johnstad,8/27/16 18:09,22.48,9410972024170
Wiseborough,9/12/16 0:38,20.62,8634932507263
South Bryanstad,8/12/16 12:15,21.78,7006435894279
New Maryport,2/26/16 22:31,19.52,392575904754
West Jefferyfurt,2/18/16 4:54,7.71,5375229465585
New David,7/8/16 23:48,31.51,4504825560306
Nguyenbury,11/8/16 19:22,19.49,1702803950740
Swansonbury,11/26/16 12:07,43.98,4622629065145
Prattfurt,5/13/16 22:09,11.3,5490281721377
New Aaron,10/4/16 21:47,42.87,3212713367333
Davistown,6/7/16 18:54,22.35,7312472946247
Stewartview,6/30/16 23:03,15.58,2449180773119
West Jefferyfurt,6/15/16 22:30,20.25,2462322760709
Vickimouth,6/17/16 4:23,40.88,2616108795939
South Louis,9/8/16 2:07,38.81,9677721784086
New David,9/11/16 5:05,10.05,1690993450433
West Dawnfurt,3/6/16 18:21,28.26,3899054595030
Davistown,1/14/16 6:15,7.61,9210055628598
Port Josephfurt,7/1/16 23:19,5.6,3234929453440
Alvarezhaven,4/18/16 20:51,31.93,4267015736324
West Peter,2/4/16 5:21,32.23,5464913219631
New Andreamouth,8/22/16 6:59,43.14,5027353344310
Wiseborough,10/29/16 19:14,13.85,8841221112569
East Douglas,4/2/16 13:49,28.17,3800595642657
Kelseyland,4/17/16 6:59,5.54,7466473222333
Smithhaven,4/26/16 16:06,30.35,8277767411680
West Jefferyfurt,6/8/16 6:50,22.13,8737367087802
Alvarezhaven,8/1/16 0:39,6.42,8394540350728
West Peter,1/11/16 14:29,10.13,60400779470
Sarabury,9/30/16 12:48,30.3,6388737278232
Yolandafurt,7/3/16 17:13,32.91,1045867165508
Lake Jennaton,6/12/16 21:55,15.68,6360386076803
Lake Jeffreyland,12/4/16 12:34,17.25,3972159758798
Spencertown,8/11/16 12:33,12.76,452574991633
Nguyenbury,3/19/16 13:08,35.07,9198401002936
Alyssaberg,4/29/16 20:53,19.77,44295036528
Yolandafurt,6/1/16 1:49,31.05,308132266739
Davidtown,8/7/16 11:22,35.99,8759291063608
Davistown,4/26/16 3:20,17.22,7893586299172
Fosterside,4/1/16 4:46,13.17,2912135299250
West Peter,1/25/16 13:57,27.53,5400221539672
West Brittanyton,6/7/16 7:40,16.54,9656275609373
Port Martinberg,6/12/16 10:31,38.4,2185801400452
Travisville,3/1/16 19:20,33.99,3329473853492
West Sydneyhaven,10/16/16 9:38,5.07,3086950951569
West Oscar,11/26/16 13:24,44.48,8256626498055
Sandymouth,10/3/16 5:05,20.3,9267605063828
Spencertown,6/14/16 16:52,8.58,8124141597846
Carrollfort,1/2/16 18:46,40.84,3714119486484
Pamelahaven,7/12/16 2:19,44.39,8861487145996
South Louis,7/26/16 16:34,33.19,6568406414554
West Peter,6/7/16 2:32,27.05,1007050766497
Lisaville,2/5/16 2:25,37.01,4010739308021
New Aaron,10/18/16 23:07,27.41,4273352984502
Travisville,10/16/16 19:55,25.52,2615527029618
Lake Jeffreyland,8/29/16 5:21,7.69,7920890699425
Stewartview,5/29/16 22:39,39.36,4912899618265
Alvarezhaven,9/1/16 22:57,18.09,1197329964911
Prattfurt,2/3/16 14:17,13.15,3249005020508
Arnoldview,3/29/16 20:04,32.63,8172040679569
East Erin,10/4/16 10:31,32.35,3963883373388
Rodriguezburgh,10/7/16 11:09,25.19,7709877217148
Sarabury,8/4/16 0:25,27.2,2429366407526
Alyssaberg,1/17/16 7:11,21.03,3138020890244
Arnoldview,2/14/16 2:12,34.2,5949268564952
Kelseyland,5/4/16 15:06,30.54,2140501382736
West Oscar,7/20/16 23:09,13.62,3418054971844
Rodriguezburgh,6/11/16 21:01,27.66,6959463827218
Lake Jeffreyland,4/10/16 15:48,38.54,7589586454429
Lake Jennaton,5/21/16 13:23,35.1,2651836106343
Jacobfort,3/13/16 23:58,13.72,3114245954411
Swansonbury,10/20/16 8:38,9.85,956191227071
Fosterside,1/19/16 1:06,10.11,7226694900591
Kelseyland,1/25/16 20:44,12.08,1896987891309
Stewartview,10/27/16 13:17,37.12,3869246419390
Russellport,8/5/16 5:51,43.57,1405839416890
Williamshire,1/30/16 7:31,34.93,6848867019018
Pearsonberg,2/8/16 3:40,23.2,2168468041107
West Dawnfurt,9/18/16 18:24,19.67,2851656538564
Pearsonberg,9/16/16 3:21,40.56,2942923988585
Travisville,8/5/16 8:01,17.8,6636226910096
Spencertown,10/1/16 19:56,11.43,6593096228570
Edwardsbury,8/25/16 21:23,15.4,4382199002444
New David,3/29/16 9:41,24.47,8594133966682
Spencertown,5/10/16 4:55,5.13,3220127429066
West Sydneyhaven,8/6/16 19:00,16.35,2843507224931
Eriktown,1/18/16 17:58,23.56,7950685654605
West Brandy,6/16/16 10:11,13.25,1348406500045
East Erin,10/6/16 18:54,36.97,9199037124955
New Andreamouth,8/23/16 23:45,23.05,4340058285247
Carrollfort,3/7/16 22:54,16.4,2234985643749
Jacobfort,7/19/16 12:38,43.64,9414931729816
Lake Jeffreyland,5/29/16 13:39,16,9147017027284
West Dawnfurt,1/3/16 11:35,6.69,7455207171412
Alyssaberg,5/9/16 1:35,17.56,2796711976151
Eriktown,2/27/16 23:17,20.3,154182897351
West Jefferyfurt,11/22/16 21:50,11.74,3338056080828
South Louis,4/20/16 15:42,27.26,7924974337784
East Douglas,10/19/16 20:25,28.18,6204409645686
West Brittanyton,5/22/16 5:49,25.1,9598588567912
Smithhaven,3/27/16 9:25,21.18,105529334350
Port Josephfurt,10/26/16 9:01,9.48,8359941011708
Edwardsbury,7/15/16 15:36,12.65,3065372869423
Prattfurt,7/14/16 14:58,7.22,3428800534766
Port Johnstad,5/26/16 5:12,40.24,2895967596189
South Bryanstad,7/27/16 16:58,38.3,257500253836
Arnoldview,7/12/16 4:33,30.88,564769023118
New Andreamouth,1/2/16 2:30,18.51,4484116538552
Arnoldview,1/12/16 1:10,35.07,9029197394649
West Dawnfurt,9/25/16 16:35,22.28,9242784905015
Prattfurt,7/5/16 13:53,35.82,5594924751117
Smithhaven,9/26/16 10:18,33.45,8539342573320
Lisaville,3/12/16 13:26,10.61,6544353421920
Eriktown,3/8/16 5:38,16.34,4824338773568
New Andreamouth,11/28/16 1:14,33.11,231866596752
West Alexis,9/3/16 2:23,22.86,8393534675892
Maryside,7/20/16 1:03,14.07,987385552129
West Alexis,6/28/16 16:34,12.92,5992374822461
Sarabury,7/25/16 10:44,17.73,4467299640441
Vickimouth,5/5/16 21:32,4.54,2443254047182
Alyssaberg,2/7/16 5:19,23.44,2983583783981
Smithhaven,3/31/16 1:06,32.58,7973806871682
New Christine,2/22/16 12:18,25.21,9932058462800
West Oscar,9/22/16 23:20,23.34,9218804614069
Alyssaberg,7/20/16 22:47,8.73,2796624267728
Davistown,4/10/16 11:11,4.36,74296958741
Prattfurt,11/18/16 17:37,5.1,9084182452384
New Jeffrey,3/20/16 0:51,38.49,1577200130190
New David,10/20/16 18:30,5.48,5201786146257
South Bryanstad,5/16/16 15:36,9.15,5125461669650
South Roy,4/14/16 3:24,9.77,664212477922
Jacobfort,7/20/16 15:44,21.57,8210929698932
Stewartview,1/30/16 4:01,6.28,1190676544959
New Jeffrey,5/17/16 8:07,21.4,644161168324
Davidtown,10/13/16 23:41,10.56,2833681147171
Arnoldview,11/18/16 12:47,4.92,8534735733800
Swansonbury,10/14/16 12:46,30.17,8693419258883
New David,9/11/16 15:12,22.16,2625948382445
Port Samantha,3/3/16 8:04,11.95,9675758344587
Port Johnstad,9/29/16 11:48,35.67,9849036104754
Nguyenbury,5/12/16 15:57,41.63,224683791660
Sarabury,6/22/16 16:24,23.94,6153395712431
Torresshire,11/27/16 18:13,16.04,7446936449859
Lake Jeffreyland,2/29/16 19:08,41.18,592689263451
Stewartview,2/3/16 7:47,14.78,8863628427671
Russellport,9/18/16 11:54,23.41,3915848678847
Smithhaven,4/16/16 11:09,7.43,5771727115432
Lake Sarashire,8/25/16 4:25,4.27,6739162487056
Wiseborough,2/23/16 2:21,4.06,5772409201337
Lake Sarashire,7/28/16 11:27,40.77,489025361264
New Jeffrey,7/1/16 22:39,34.02,3643931487976
Lisaville,3/14/16 19:58,36.95,6369117726062
Alvarezhaven,8/18/16 7:12,20.74,357421158941
Carrollfort,10/9/16 8:58,4.56,953777855826
Carrollfort,8/24/16 5:23,44.26,2311815992922
Kelseyland,8/9/16 18:19,17.91,8784212854829
Swansonbury,4/3/16 23:58,36.5,3848156310607
New Maryport,3/16/16 5:00,38.55,1518943690268
Port Johnstad,10/14/16 10:57,19.6,2812460233557
Zimmermanmouth,9/19/16 2:40,16.21,4966546004949
East Douglas,9/19/16 9:23,34.17,8612766947608
Kelseyland,10/24/16 15:15,33.56,4797969661996
Travisville,3/29/16 11:14,12.26,2806178553809
Mooreview,8/28/16 8:58,16.54,4559523215386
Alyssaberg,11/25/16 17:30,25.27,2037593736588
Williamshire,10/1/16 15:14,10.67,9934352171372
East Erin,2/15/16 16:23,40.94,8041254000431
Sarabury,1/27/16 17:46,16.39,8220809448298
Williamshire,1/12/16 4:22,35.94,7083499369219
Antoniomouth,3/5/16 2:55,19.91,644874337642
West Sydneyhaven,4/8/16 1:17,20.06,4856099661860
Sandymouth,3/7/16 23:43,5.72,7962314626945
Torresshire,11/16/16 9:35,17.84,9441117233003
Kelseyland,6/6/16 13:54,20.81,9811478565448
Stewartview,2/11/16 13:11,35.86,7768012346389
Pamelahaven,9/29/16 11:08,12.82,2549169227210
West Brandy,2/3/16 20:21,35.59,6779328101907
West Jefferyfurt,2/9/16 5:04,22.54,862555711851
East Erin,6/3/16 19:16,7.84,7261592737771
Spencertown,5/24/16 21:33,31.76,8578989365776
Alyssaberg,9/9/16 14:29,25.85,1039138299689
Lake Jeffreyland,5/24/16 7:38,10.99,9239376928385
South Roy,7/6/16 7:37,21.04,900025947383
East Erin,7/1/16 20:56,19.79,6310193434952
Lisatown,11/29/16 5:03,25.37,8786270280411
East Douglas,2/10/16 3:30,33.08,3357256703085
Jacobfort,5/27/16 12:40,38.52,3063194571395
South Bryanstad,11/30/16 8:27,19.24,9277201330132
Mooreview,11/29/16 5:43,32.91,2686245541911
Lake Stevenbury,1/11/16 19:57,41.05,5280521242881
Vickimouth,12/2/16 5:12,36.72,2884304595749
East Douglas,8/21/16 22:32,7.9,4788757321451
South Louis,8/5/16 11:29,28.07,1494810441587
Torresshire,6/5/16 15:15,29.85,1535669926716
Spencertown,2/12/16 21:25,30.82,8226614157011
West Dawnfurt,5/21/16 23:19,14.49,6407066467749
Rodriguezburgh,4/24/16 3:23,18.91,9058168986279
New Jeffrey,9/28/16 6:19,18.42,2257564362688
Kellershire,11/8/16 4:54,6.21,9858075633262
Spencertown,2/7/16 12:18,44.67,6135648364857
West Oscar,5/27/16 0:31,11.18,2381359390928
West Oscar,1/18/16 23:15,23.67,9041743240682
Kellershire,11/9/16 16:14,11.52,6538331317084
Jacobfort,11/15/16 14:39,10.12,2624500477551
Arnoldview,6/30/16 21:18,36.65,1727135103213
West Alexis,3/1/16 5:36,25.93,984264694154
South Josephville,10/6/16 3:53,28.19,2604125036913
New Christine,5/29/16 15:42,14.9,3593553821248
South Louis,9/11/16 16:28,22.08,7454178540432
Williamshire,7/5/16 10:54,28.32,5678094637782
East Douglas,11/14/16 13:10,22.83,4916688973313
Yolandafurt,2/28/16 11:02,36,6313980463869
Lake Sarashire,3/17/16 11:47,16.67,1790621665083
Torresshire,10/2/16 1:20,5.45,7856077900797
New Maryport,2/7/16 16:58,21.94,1134181964123
West Oscar,8/19/16 15:24,26.3,1574023098478
Kimberlychester,8/17/16 13:49,39.29,7660014461971
Williamshire,1/19/16 13:24,28.73,3631350485185
Kimberlychester,1/13/16 1:17,41.06,3470563586575
Prattfurt,1/22/16 8:38,12.49,8746582299907
Zimmermanmouth,7/23/16 19:20,28.89,1529363655249
Zimmermanmouth,5/4/16 18:32,20.96,6490497681785
Lake Jeffreyland,8/3/16 19:10,37.24,7168808422868
New Andreamouth,1/10/16 16:33,41.15,8727097965242
Lake Jennaton,12/2/16 20:30,7.37,4330065632813
Antoniomouth,8/27/16 6:53,33.31,6663823307127
New David,10/15/16 12:01,25.55,5572927950812
Antoniomouth,8/19/16 14:45,20.67,5230053373966
Smithhaven,6/23/16 8:23,15.18,8197916537514
Edwardsbury,8/3/16 22:39,19.85,3684051636585
Jacobfort,8/8/16 12:21,16.87,2839360764097
Williamshire,10/12/16 20:05,43.59,5754483138563
Torresshire,1/21/16 6:22,13.88,3848669531353
Maryside,1/22/16 17:16,17,3252915959295
West Oscar,8/16/16 3:32,9.08,3869784242764
South Josephville,3/11/16 23:05,29.12,7477161326509
Lake Stevenbury,5/1/16 21:55,15.75,7025678870130
Jacobfort,7/19/16 22:19,20.36,3067221287778
Port Samantha,10/5/16 2:16,6.99,3734162279673
South Louis,10/11/16 0:43,4.54,3590839261736
Port Samantha,3/7/16 7:34,39.5,3549874021157
South Josephville,3/24/16 18:38,13.73,1488440031973
Alvarezhaven,4/4/16 23:45,14.25,6431434271355
West Peter,4/12/16 16:00,7.51,7110146345941
Kimberlychester,10/22/16 2:54,19.07,6696747408045
Lake Jeffreyland,5/15/16 14:22,17.85,8497225042045
West Brittanyton,1/16/16 22:15,37.64,8412175932840
West Oscar,5/27/16 18:18,11.4,5323060382479
Lisatown,7/10/16 3:14,40.36,1797156129981
South Josephville,8/28/16 4:52,38.51,4250063766740
Kelseyland,8/10/16 7:02,44.53,1563171128434
Arnoldview,9/18/16 10:09,37.37,2403254812791
Stewartview,1/1/16 9:25,6.83,7890904538401
Sarabury,4/26/16 11:31,21.8,5969441875705
Spencertown,3/28/16 6:14,42.67,1235393133175
Yolandafurt,11/20/16 11:01,24.95,3736563482430
Eriktown,6/24/16 6:41,40.41,24231019266
Torresshire,9/20/16 12:58,8.31,3854971970674
South Roy,1/29/16 17:29,18.61,5084084186718
Rodriguezburgh,2/28/16 23:49,9.86,1782129061191
Aprilchester,2/20/16 19:30,27.84,3702797861303
Alvarezhaven,10/31/16 5:33,20.23,4348900295000
Pamelahaven,9/21/16 3:18,13.95,8123394334772
Fosterside,11/7/16 0:00,17.92,7423393375419
East Douglas,9/29/16 14:23,21.49,9991382143762
Mooreview,8/29/16 3:50,16.43,2394943629519
Carrollfort,1/24/16 13:10,7.15,4138258942493
South Louis,10/29/16 18:46,30.73,3068777385574
New Jeffrey,6/6/16 14:29,34.35,722026316506
Swansonbury,10/20/16 2:30,11.29,5297420254082
Mooreview,5/6/16 2:19,38.1,9853666725593
Lake Jennaton,10/17/16 9:44,16.98,8336566298936
Davidtown,7/3/16 17:33,17.6,9775771647730
East Erin,8/7/16 6:28,12.56,3376154209130
Rodriguezburgh,5/30/16 18:12,14.51,8432927570571
Mooreview,6/19/16 7:05,39.02,4559373421654
Spencertown,7/23/16 0:02,7.74,8390473678960
Williamshire,4/21/16 20:53,12.62,8433632132412
New Aaron,8/12/16 22:11,12.53,7862268645958
Vickimouth,4/27/16 9:28,31.47,172282266617
Arnoldview,5/17/16 16:41,17.7,5256309963774
Kimberlychester,3/19/16 22:17,10.33,3842208960239
Lisatown,11/13/16 9:11,16.36,5296107649616
South Roy,6/3/16 17:48,43.5,5316443198767
Davistown,2/9/16 6:40,29.58,6521927976987
Torresshire,6/7/16 11:48,23.86,3002268912986
Antoniomouth,5/2/16 17:52,8.43,4177920769860
Lisatown,1/7/16 9:55,18.64,5461809747902
Lisatown,5/19/16 12:41,20.22,4066673361882
Port Johnstad,11/6/16 21:03,10.58,8042275432980
Davidtown,10/18/16 12:27,14.48,8267824112339
Travisville,10/28/16 9:02,35.69,6801310456815
Sandymouth,4/10/16 14:31,5.42,4362223791636
Swansonbury,9/24/16 8:14,13.77,3912826230530
West Brandy,6/22/16 20:17,26.96,9894677747082
West Brandy,10/19/16 14:01,27.77,9200104175364
Alyssaberg,5/27/16 5:36,21.59,6752854351121
West Oscar,6/28/16 2:11,25.68,616092585143
Edwardsbury,6/8/16 9:17,39.28,4315580722201
Swansonbury,3/12/16 15:20,38.41,2213459694647
Alyssaberg,7/7/16 1:18,7.18,622281532485
Kelseyland,7/5/16 17:37,29.02,6897992353955
Smithhaven,5/16/16 10:13,5.39,9845186631775
Arnoldview,4/8/16 4:59,6.7,2434629578387
Jacobfort,10/20/16 15:51,21.31,116694245921
Lisatown,4/16/16 11:51,44.98,410481603766
New Christine,6/30/16 4:33,17.33,725597058295
Sandymouth,8/21/16 1:56,35.97,1976034846787
Sandymouth,6/27/16 13:58,38.59,1270700271874
Sandymouth,7/1/16 0:43,37.75,8238112205033
South Roy,8/23/16 8:57,6.73,182674615916
Zimmermanmouth,2/11/16 19:07,14.5,7547394650211
Swansonbury,7/25/16 14:20,29.38,6195714226915
Arnoldview,3/23/16 6:59,21.61,590312525501
Kimberlychester,7/21/16 14:54,23.55,9279592186428
South Bryanstad,10/18/16 9:58,22.27,7393135081574
Edwardsbury,7/5/16 10:59,42.67,6068970709600
East Erin,9/25/16 7:45,27.75,9261822636384
Davistown,1/26/16 20:57,18.24,4209889453877
Lisaville,7/1/16 3:28,29.41,6428548423794
Sandymouth,5/3/16 0:51,30.58,5314417879933
Lake Jennaton,4/17/16 2:48,30.98,4134453537083
Smithhaven,9/22/16 0:49,22.51,1161059021978
West Brandy,6/2/16 16:31,6.82,6187119773231
Carrollfort,4/10/16 7:24,18.01,2936035802396
South Louis,2/25/16 14:35,39.4,8085468342574
Maryside,9/13/16 14:45,37.61,1477879530959
Davistown,7/23/16 22:14,24.76,6219889747607
Kimberlychester,10/24/16 16:48,4.49,3691619246759
Stewartview,2/28/16 4:05,13.46,4418289190361
West Brittanyton,5/6/16 20:52,30.02,346465520517
Lake Stevenbury,1/5/16 10:15,8.47,1245071864895
New David,2/28/16 1:45,31.83,9636409504323
Williamshire,2/14/16 9:59,12.44,5622262765746
West Brittanyton,11/10/16 7:06,4.13,8152035211745
Zimmermanmouth,5/25/16 14:46,41.96,5202604424953
Antoniomouth,10/22/16 1:49,6.05,1700566631906
Travisville,6/17/16 9:02,19.79,601668747551
West Dawnfurt,10/18/16 2:10,43.77,1006219353516
Kelseyland,4/25/16 2:18,20.05,1148374505062
Russellport,7/11/16 8:01,37.34,9625459203447
Sandymouth,11/24/16 10:24,41.22,2824348332856
West Jefferyfurt,1/24/16 2:50,33.17,7509497742668
West Brandy,7/5/16 4:36,13.56,7146043518843
Prattfurt,1/21/16 22:17,35.32,2845558942192
Lisaville,3/15/16 2:55,18.78,7907967448834
West Dawnfurt,10/15/16 6:23,8.69,3817399950789
Aprilchester,10/4/16 14:22,19.92,6787220390480
Jacobfort,9/18/16 4:50,9.6,7250657864255
Prattfurt,2/1/16 18:49,34.91,1845873007621
West Peter,7/12/16 3:26,19.03,6598651316433
East Erin,1/16/16 18:15,11.35,1249552835589
Travisville,5/28/16 0:34,36.69,895087034808
Jacobfort,10/9/16 19:57,31.35,8006166614886
Lake Sarashire,4/26/16 18:05,9.02,7690296870949
Nguyenbury,4/7/16 6:59,19.01,4648481871830
Kellershire,6/25/16 6:44,26.28,9320172930167
Lake Stevenbury,3/5/16 14:09,27.68,715826371882
Lake Sarashire,7/9/16 5:23,21.92,1008603504559
West Jefferyfurt,9/8/16 5:29,20.41,740732982389
Wiseborough,7/1/16 3:59,8.28,1126926512034
Spencertown,3/4/16 7:28,44.15,2928794971925
Carrollfort,11/29/16 19:04,23.59,9661862142751
Jacobfort,11/18/16 16:19,37.31,6743283573826
Wiseborough,11/26/16 17:24,7.42,6768638420259
Jacobfort,11/10/16 5:11,22.1,3637540357249
New Andreamouth,11/5/16 2:09,41.26,6728388446206
Alyssaberg,10/28/16 0:13,40.47,7114653428807
Williamshire,11/15/16 2:03,26.79,6861635672246
New Christine,3/1/16 6:47,35.53,810508508188
Smithhaven,1/11/16 5:46,21.67,2622959093216
Port Samantha,8/7/16 7:06,40.96,1475835735349
New Aaron,10/11/16 2:49,13.03,6751552391576
Nguyenbury,8/7/16 23:33,32.21,3306944846771
Sarabury,8/14/16 19:56,7.83,4979570237054
Swansonbury,11/22/16 10:34,33.17,4966554636637
Kelseyland,1/25/16 8:47,9.29,213692794373
West Dawnfurt,3/30/16 2:38,43.05,8265937444583
Swansonbury,10/9/16 4:32,42.58,494544036029
Port Samantha,6/15/16 20:23,29.34,7026936414899
Lake Stevenbury,3/11/16 0:39,17.65,5215103205817
Carrollfort,1/13/16 0:26,44.75,516842542795
New Maryport,9/13/16 9:09,40.93,4388904712547
Swansonbury,9/10/16 13:14,28.62,4568965434125
Nguyenbury,9/20/16 10:38,42.5,8781676059272
East Erin,9/28/16 7:41,33.5,824912536965
Alyssaberg,7/21/16 13:43,18.02,5824050806642
West Peter,8/1/16 23:45,19.16,2871298258217
Alvarezhaven,5/26/16 11:36,39.28,8878745717970
Travisville,8/6/16 13:51,9.49,354900510092
Stewartview,4/8/16 9:00,17.49,2596893152844
Wiseborough,4/16/16 2:07,20.76,524254681858
Zimmermanmouth,8/9/16 4:35,26.63,2326214075695
Spencertown,1/5/16 3:19,34.86,6293710331593
West Brittanyton,8/9/16 7:46,19.17,5490192891862
Torresshire,3/10/16 9:11,16.7,2989848047294
Wiseborough,2/20/16 5:53,43.92,7954163272527
Travisville,10/11/16 1:02,43.96,1077877764402
Kimberlychester,7/26/16 1:07,30.08,831715129317
Russellport,1/4/16 8:24,26.01,1076650346019
Lake Stevenbury,8/24/16 13:41,20.71,5035969778276
South Josephville,8/31/16 4:27,32.65,2481086332724
Jacobfort,1/5/16 15:34,7.75,25236397335
New David,11/28/16 0:01,25.8,6932297932969
New Aaron,1/2/16 17:29,16.77,8109149518178
Antoniomouth,11/4/16 11:06,14.44,9933475830678
Davistown,4/29/16 11:46,8.47,5947763796656
West Brandy,11/10/16 17:40,10.13,6874797226851
Port Johnstad,2/25/16 7:35,9.95,5086886868724
Rodriguezburgh,7/16/16 10:59,21.65,8523432027817
Aprilchester,8/6/16 7:30,14.91,3702913189953
Port Josephfurt,5/2/16 20:00,27.3,2511901605563
Mooreview,8/5/16 13:20,38.45,5756427677138
Nguyenbury,2/28/16 6:07,8.41,8576716154877
Lake Sarashire,10/28/16 1:03,38.64,64134810300
West Brandy,1/18/16 8:05,40.96,3840672140850
Smithhaven,1/12/16 8:42,25.23,9738905070897
Zimmermanmouth,8/12/16 2:53,34.84,7176327056501
South Josephville,3/13/16 6:50,19.84,708587085815
Port Josephfurt,9/13/16 21:50,38.27,1422530958740
Maryside,1/14/16 17:40,21.34,6990585368159
Sarabury,1/6/16 3:02,5.19,9988466326333
Port Johnstad,10/2/16 2:55,39.86,1209365971911
